"Abandoned carts","Abandoned carts"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Applied Coupon","Applied Coupon"
"Average rating","Average rating"
"Bestsellers","Bestsellers"
"Bought from wishlists","Bought from wishlists"
"Carrier/Method","Carrier/Method"
"Carts","Carts"
"Coupons","Coupons"
"Created at","Created at"
"CSV","CSV"
"Customer","Customer"
"Customer Name","Customer Name"
"Customer Tags","Customer Tags"
"Customers","Customers"
"Customers by number of orders","Customers by number of orders"
"Customers by orders total","Customers by orders total"
"Customers Report","Customers Report"
"Customers Reviews","Customers Reviews"
"Customers Tags","Customers Tags"
"Customers that have wishlist: %s%","Customers that have wishlist: %s%"
"Day","Day"
"Detail","Detail"
"Discounts","Discounts"
"Email","Email"
"Excel","Excel"
"First Name","First Name"
"Guest","Guest"
"Hits","Hits"
"ID","ID"
"Invoiced","Invoiced"
"Items in Cart","Items in Cart"
"Items Ordered","Items Ordered"
"Last Name","Last Name"
"Last Review","Last Review"
"Low stock","Low stock"
"Month","Month"
"Most Viewed","Most Viewed"
"Most viewed","Most viewed"
"Name","Name"
"New Accounts","New Accounts"
"Number Added","Number Added"
"Number Fulfilled","Number Fulfilled"
"Number Of Historical Uses","Number Of Historical Uses"
"Number of Items","Number of Items"
"Number of items bought from a wishlist: %s","Number of items bought from a wishlist: %s"
"Number of New Accounts","Number of New Accounts"
"Number of Orders","Number of Orders"
"Number Of Reviews","Number Of Reviews"
"Number of Reviews","Number of Reviews"
"Number of times deleted","Number of times deleted"
"Number of times wishlists have been shared (emailed): %s","Number of times wishlists have been shared (emailed): %s"
"Number of Total Tags","Number of Total Tags"
"Number of Unique Tags","Number of Unique Tags"
"Number Of Uses","Number Of Uses"
"Number of Views","Number of Views"
"Number of wishlist conversions: %s","Number of wishlist conversions: %s"
"Number of wishlist referrals: %s","Number of wishlist referrals: %s"
"Number of wishlists: %s","Number of wishlists: %s"
"Number Purchased","Number Purchased"
"Number Viewed","Number Viewed"
"Offline Refunded","Offline Refunded"
"Online Refunded","Online Refunded"
"Orders","Orders"
"Out of stock","Out of stock"
"Poducts Report","Poducts Report"
"Popular Tags","Popular Tags"
"Popularity","Popularity"
"Price","Price"
"Product Name","Product Name"
"Product Reviews","Product Reviews"
"Product Sku","Product Sku"
"Product Tags","Product Tags"
"Products","Products"
"Products in carts","Products in carts"
"Products Report","Products Report"
"Products Reviews","Products Reviews"
"Products Tags","Products Tags"
"Quantity of Items","Quantity of Items"
"Quantity Ordered","Quantity Ordered"
"Recently Compared Products","Recently Compared Products"
"Recently Viewed Products","Recently Viewed Products"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Refunded","Refunded"
"Reports","Reports"
"Results","Results"
"Revenue","Revenue"
"Review","Review"
"Reviews","Reviews"
"Sales","Sales"
"Sales Report","Sales Report"
"Search Terms","Search Terms"
"Shipping","Shipping"
"Shopping Cart","Shopping Cart"
"Show for Current","Show for Current"
"Stock Qty","Stock Qty"
"Submitted In","Submitted In"
"Submitted On","Submitted On"
"Subtotal","Subtotal"
"Tag","Tag"
"Tag ""%s"" details","Tag ""%s"" details"
"Tag Detail","Tag Detail"
"Tag Name","Tag Name"
"Tag use","Tag use"
"Tags submited by %s","Tags submited by %s"
"Tags submitted to %s","Tags submitted to %s"
"Tax","Tax"
"Tax Amount","Tax Amount"
"Tax Rate","Tax Rate"
"Title","Title"
"Total","Total"
"Total invoiced","Total invoiced"
"Total invoiced captured","Total invoiced captured"
"Total invoiced not captured","Total invoiced not captured"
"Total Refunded","Total Refunded"
"Total refunded","Total refunded"
"Total Shipping","Total Shipping"
"Total Tags","Total Tags"
"Updated at","Updated at"
"Visible In","Visible In"
"Wishlist Report","Wishlist Report"
"Wishlist vs. Regular Order","Wishlist vs. Regular Order"
"Wishlists","Wishlists"
"Year","Year"
"Your Recently Compared","Your Recently Compared"
"Your Recently Viewed","Your Recently Viewed"
