"%d Review(s)","%d Review(s)"
"%s Review(s)","%s Review(s)"
"(Posted on %s)","(Posted on %s)"
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"Add Items to Cart","Tambahkan ke Cart"
"Add New Review","Tambahkan Review"
"Add to Cart","Tambah ke Cart"
"Add to Compare","Tambah ke Perbandingan"
"Add to Wishlist","Tambah ke Wishlist"
"Add Your Review","Tulis Review Anda"
"Administrator","Administrator"
"All Reviews","Semua Review"
"Are you sure you want to do this?","Anda yakin akan melanjutkan?"
"Are you sure?","Anda yakin?"
"Availability: In stock.","Ketersediaan: Stok ada."
"Availability: Out of stock.","Ketersediaan: Stok habis."
"Average Customer Rating","Average Customer Rating"
"Average Customer Rating:","Average Customer Rating:"
"Back","Kembali"
"Back to Main Product Info","Back to Main Product Info"
"Back to My Reviews","Back to My Reviews"
"Back to Product Reviews","Back to Product Reviews"
"Be the first to review this product","Be the first to review this product"
"Buy %s for %s","Buy %s for %s"
"Created On","Created On"
"Customer","Customer"
"Customer Reviews","Customer Reviews"
"Delete","Hapus"
"Delete Review","Delete Review"
"Detailed Rating","Detailed Rating"
"Edit Review '%s'","Edit Review '%s'"
"Guest","Guest"
"How do you rate this product?","How do you rate this product?"
"ID","ID"
"My Product Reviews","My Product Reviews"
"My Recent Reviews","My Recent Reviews"
"Name","Nama"
"Name In Store","Name In Store"
"New Review","New Review"
"Nickname","Nickname"
"OR","OR"
"Pending Reviews","Pending Reviews"
"Please select a product","Silakan pilih produk"
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Posted By","Posted By"
"Price","Harga"
"Product","Produk"
"Product Name","Nama Produk"
"Product Rating","Rating Produk"
"Product Rating:","Rating Produk:"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Product Reviews","Review Produk"
"Product SKU","SKU Produk"
"Qty","Qty"
"Rating:","Rating:"
"Review","Review"
"Review by %s","Review oleh %s"
"Review Details","Review Details"
"Save Review","Simpan Review"
"SKU","SKU"
"Status","Status"
"Store Views","Store Views"
"Submit Review","Submit Review"
"Summary of Review","Summary of Review"
"Summary of review","Summary of review"
"Summary of Your Review","Summary of Your Review"
"Summary Rating","Summary Rating"
"Title","Judul"
"Type","Tipe"
"Unable to post review. Please, try again later.","Unable to post review. Please, try again later."
"Update status","Update status"
"View All Reviews","View All Reviews"
"View Details","View Details"
"Visible In","Visible In"
"Visible Ins","Visible Ins"
"Write Your Own Review","Tulis Review Anda"
"You have submitted no reviews.","You have submitted no reviews."
"You're reviewing: %s","You're reviewing: %s"
"Your Rating:","Your Rating:"
"Your Review (submitted on %s):","Your Review (submitted on %s):"
"Your review has been accepted for moderation","Your review has been accepted for moderation"
"Zoom In","Zoom In"
"Zoom Out","Zoom Out"
