"(eg: domain.com/identifier)","(cth: domain.com/identifier)"
"Action","Aksi"
"Add New Block","Tambah Blok Baru"
"Add New Page","Tambah Halaman Baru"
"All countries","Semua Negara"
"Block Information","Informasi Blok"
"Block Title","Judul Blok"
"Block was successfully deleted","Blok berhasil dihapus"
"Block was successfully saved","Blok berhasil disimpan"
"CMS","CMS"
"CMS Home Page","CMS Halaman Utama"
"CMS No Route Page","CMS Halaman Tidak Ada"
"Content","Konten"
"Custom Design","Desain Pilihan"
"Custom Theme","Tema Piliha"
"Custom Theme From","Tema Pilihan Dari"
"Custom Theme To","Tema Pilihan Sampai"
"Customer Tax Class Information","Informasi Kelas Pajak Konsumen"
"Date Created","Tanggal Dibuat"
"Delete Block","Hapus Blok"
"Delete Page","Hapus Halaman"
"Description","Keterangan"
"Disabled","Tidak Aktif"
"Edit Block","Ubah Blok"
"Edit Block '%s'","Ubah Blok"
"Edit Page","Ubah Halaman"
"Edit Page '%s'","Ubah Halaman '%s'"
"Enabled","Aktif"
"General Information","Informasi Umum"
"Go to Home Page","Ke Halaman Utama"
"Home","Halaman Utama"
"Identifier","Pengenal"
"Keywords","Kata Kunci"
"Last Modified","Terakhir Kali Diubah"
"Layout","Layout"
"Layout Update XML","Layout Update XML"
"Manage Pages","Mengurus Halaman"
"Meta Data","Data Meta"
"Meta Description","Deskripsi Meta"
"Meta Keywords","Kata Kunci Meta"
"New Block","Blok Baru"
"New Page","Halaman Baru"
"Page Identifier cannot consist only of numbers.","Pengenal Halaman tidak bisa terdiri dari halaman."
"Page Identifier for specified store already exist.","Pengnal Halaman sudah ada untuk toko ini."
"Page Information","Informasi Halaman"
"Page Status","Status Halaman"
"Page Title","Judul Halaman"
"Page was successfully deleted","Halaman berhasil dihapus"
"Page was successfully saved","Halaman berhasil disimpan"
"Poll Manager","Mengurus Poll"
"Product Tax Class Information","Informasi Kelas Pajak Produk"
"Save Block","Simpan Blok"
"Save Page","Simpan Halaman"
"SEF URL Identifier","Pengenal SEF URL"
"Show breadcrumbs for CMS pages","Tunjukkan breadcrumbs untuk halaman CMS"
"Static Blocks","Blok Statis"
"Status","Status"
"Store View","Tampilan Toko"
"Such a block identifier in selected store already exist.","Pengenal blok seperti itu sudah ada pada toko ini."
"The page you are trying to save no longer exists","Halaman yang anda ingin simpan sudah tidak ada lagi"
"This block no longer exists","Blok ini sudah tidak ada"
"This page no longer exists","Halaman ini sudah tidak ada"
"Title","Judul"
"Unable to find a block to delete","Tidak dapat menemukan blok untuk dihapus"
"Unable to find a page to delete","Tidak dapat menemukan halaman untuk dihapus"
