"* Required Fields","* Field Diperlukan"
"A new password was sent","Kata kunci baru sudah dikirim"
"Account Dashboard","Account Dashboard"
"Account Information","Informasi Akun"
"Account information was successfully saved","Informasi akun berhasil disimpan"
"Account Sharing Options","Opsi Pembagian Akun"
"Action","Aksi"
"Add New Address","Tambah Alamat Baru"
"Add New Customer","Tambah Konsumen Baru"
"Add New Customer Group","Tambah Grup Konsumen Baru"
"Added From","Ditambah Dari"
"Additional Address Entries","Alamat Tambahan"
"Address","Alamat"
"Address Book","Buku Alamat"
"Address Information","Informasi Alamat"
"Addresses","Alamat"
"Admin","Admin"
"All","Semua"
"All countries","Semua negara"
"All Store Views","Semua Tampilan Toko"
"Always optional","Always optional"
"Amount","Nilai"
"Approved","Disetujui"
"Are you sure that you want to remove this item?","Anda ingin membuang barang ini?"
"Are you sure you want to cancel adding of this address?","Anda ingin membatalkan menambahkan alamat ini?"
"Are you sure you want to delete this address?","Anda ingin menghapus alamat ini?"
"Are you sure?","Anda yakin?"
"Array of Entity collections is expected","Entitas koleksi berupa Array diharapkan"
"Assign a customer group","Tugaskan pada grup konsumen"
"Average Sale","Penjualan Rata-rata"
"Back","Kembali"
"Back to Login","Kembali ke Login"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Informasi Tagihan"
"Bought From","Dibeli Dari"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.",""
"Cancel","Batal"
"Can't save address","Tidak dapat menyimpan alamat"
"Can't save customer","Tidak dapat menyimpan konsumen"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Change Account Password","Ubah Password Akun"
"Change Billing Address","Ubah Alamat Surat Menyurat"
"Change Password","Ubah Password"
"Change Shipping Address","Ubah Alamat Pengiriman"
"City","Kota"
"Company","Perusahaan"
"Config","Konfig"
"Confirm New Password","Konfirmasi Password Baru"
"Confirm Password","Konfirmasi Password"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Informasi Kontak"
"Continue Shopping","Melanjutkan Belanja"
"Country","Negara"
"Create","Create"
"Create an Account","Buat Akun"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Create New Account Options","Buat Opsi Akun Baru"
"Create New Customer Account","Buat Akun Konsumen Baru"
"Create Order","Buat pembelian"
"CSV","CSV"
"Current Password","Password Sekarang"
"Customer","Konsumen"
"Customer Addresses","Alamat Konsumen"
"Customer Api","Customer Api"
"Customer collection expected","Koleksi Konsumen Diharapkan"
"Customer Configuration","Konfiguras Konsumen"
"Customer doesn't have primary billing address","Konsumen tidak memiliki alamat utama penagihan"
"Customer email already exists","Email konsumen sudah ada"
"Customer Group","Grup Konsumen"
"Customer Group was successfully deleted","Grup Konsumen barhasil dihapus"
"Customer Group was successfully saved","Grup Konsumen berhasil disimpan"
"Customer Groups","Grup Konsumen"
"Customer Information","Informasi Konsumen"
"Customer Login","Login Konsumen"
"Customer Since","Konsumen Sejak"
"Customer View","Tampilan Konsumen"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Konsumen"
"Customers Only","Hanya Konsumen"
"Customers Section","Customers Section"
"Date","Tanggal"
"Date Added","Tanggal Ditambahkan"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","Hari di Daftar Keinginan"
"DD","DD"
"Default Addresses","Alamat Acuan"
"Default Billing Address","Alamat Acuan Penagihan"
"Default Email Domain","Domain Acuan Email"
"Default Group","Grup Acuan"
"Default Shipping Address","Alamat Acuan Pengiriman"
"Default Welcome Email","Default Welcome Email"
"Delete","Hapus"
"Delete Address","Hapus Alamat"
"Delete Customer","Hapus Konsumen"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Delete Customer Group","Hapus Grup Konsumen"
"Deleted Stores","Hapus Toko"
"Details","Detil"
"Disabled","Tidak Aktif"
"Edit","Ubah"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Ubah Infromasi Akun"
"Edit Address","Ubah Alamat"
"Edit Address Entry","Ubah Entri Alamat"
"Edit Customer Group ""%s""","Ubah Grup Konsumen “%s”"
"Edit Customer Groups","Ubah Grup Konsumen"
"Edit Customer's Address","Ubah Lamat Konsumen"
"Edit Group","Ubah Grup"
"Edit Newsletter Subscription","Ubah Pendaftaran Newsletter"
"Edit Newsletters","Ubah Newsletter"
"Edit Personal Information","Ubah Informasi Personal"
"Email","Email"
"Email Address","Alamat Email"
"Email Sender","Email Pengirim"
"Entity collection is expected","Entitas koleksi diharapkan"
"Error during retrieval of option value: %s","Error saat menerima nilai opsi ini: %s"
"Ext. Price","Harga Eksternal"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Faks"
"First Name","Nama Depan"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Luap Email Pengirim"
"Forgot Email Template","Lupa Template Email"
"Forgot Your Password?","Lupa Kanta Kunci Anda?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.",""
"General Subscription","General Subscription"
"Global","Umum"
"Go to Address Book","Ke Buku Alamat"
"Grand Total","Grand Total"
"Grand Total: %s","Grand Total: %s"
"Group","Grup"
"Group ""%s"" can not be deleted","Grup ""%s"" tidak bisa dihapus"
"Group Information","Informasi Grup"
"Group Name","Nama Grup"
"Guest","Tamu"
"Hello, %s!","Halo, %s!"
"HTML","HTML"
"ID","ID"
"If you have an account with us, please log in.","Jika anda memiliki akun, harap masuk."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opsi atribut yang dispesifikasikan untuk atribut tidak valid %s (%s), lewatkan rekord"
"Invalid attribute set specified, skipping the record","Set atribut yang dispesifikasikan tidak valid, lewatkan rekord"
"Invalid current password","Kata kunci sekarang tidak valid"
"Invalid customer data","Data konsumen tidak valid"
"Invalid email address","Alamat email tidak valid"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Invalid login or password."
"Invalid option id specified for %s (%s), skipping the record","Id opsi yang dispesifikasikan untuk %s (%s) tidak valid, lewatkan rekord"
"Invalid store specified, skipping the record","Toko yang dispesifikasikan tidak valid, lewatkan rekord"
"IP Address","Alamat IP"
"Items Order","Urutan Barang"
"Last 5 Orders","5 Pembelian Terakhir"
"Last Activity","Aktivitas Terakhir"
"Last date subscribed","Pendaftaran tanggal terakhir"
"Last date unsubscribed","Pengundurun tanggal terakhir"
"Last Name","Nama Belakang"
"Last name can't be empty","Last name can't be empty"
"Last Url","Url Belakang"
"Last Viewed Items","Barang Terakhir Dilihat"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Penjualan Seumur Hidup"
"Log In","Log In"
"Log in or Create an Account","Log in or Create an Account"
"Log Out","Log Out"
"Login","Login"
"Login and password are required","Login dan password diperlukan"
"Login Information","Infromasi Login"
"Login or Create an Account","Login atau Buat Akun"
"M.I.","M.I."
"Manage Addresses","Urus Alamat"
"Manage Customers","Urus Konsumen"
"Missing email, skipping the record","Email hilag, lewatkan rekord"
"Missing firstname, skipping the record","Nama depan hilang, lewatkan rekord"
"Missing lastname, skipping the record","nama belakang hilang, lewatkan rekord"
"MM","MM"
"Month","Month"
"My Account","Akun Saya"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","Dashboard Saya"
"My Orders","Pembelian Saya"
"My Reviews","Review Saya"
"My Tags","Tag Saya"
"My Wishlist","Daftar Keinginan Saya"
"n/a","n/n"
"Name","Nama"
"Name and Address Options","Name and Address Options"
"Never","Tidak Pernah"
"New account","Akun Baru"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New Address","Alamat Baru"
"New Address Entry","Entri Alamat Baru"
"New Customer","Konsumen Baru"
"New Customer Address","Alamat Konsumen Baru"
"New Customer Group","Grup Konsumen Baru"
"New Customer Groups","Grup Konsumen Baru"
"New Customers","Konsumen Baru"
"New Group","Grup Baru"
"New Password","Password Baru"
"New password","New password"
"Newsletter","Newsletter"
"Newsletter Finish","Newsletter Selesai"
"Newsletter Information","Informasi Newsletter"
"Newsletter Received","Newsletter Diterima"
"Newsletter Start","Newsletter Dimulai"
"Newsletter Subscription","Newsletter Subscription"
"Newsletters","Newsletter"
"No item specified.","No item specified."
"No Items Found","Barang Tidak Ada"
"No Newsletter Found","Tidak Ada Newsletter"
"No product collections found","Tidak ada koleksi produk"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Not Sent","Tidak dikirim"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Offline"
"Online","Online"
"Online Customers","Konsumen Online"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"or","atau"
"Order #","Pembelian #"
"Order #%s (%s)","Pembelian #% (%s)"
"Order List...","Daftar Pembelian..."
"Order Total","Total Pembelian"
"Orders","Pembelian"
"Password","Password"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password Management","Urus Password"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Password harus 6 karakter. Spasi akan tidak dihiraukan"
"Password Options","Opsi Password"
"Paused","Paused"
"Payment Method","Metode Pembayaran"
"PDF","PDF"
"Pending","Tunda"
"Per Website","Per Website"
"Personal Information","Informasi Personal"
"Please enter your email below and we'll send you a new password.","Harap masukkan email dibawah dan kami akan mengirimkan password baru."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","Masukkan email anda."
"Please make sure your passwords match.","Pastikan password anda cocok"
"Please select","Harap pilih"
"Please select region, state or province","Harap pilih wilayah, negara bagian atau provinsi"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","Harga"
"Primary Billing Address","Alamat Surat Menyurat"
"Primary Shipping Address","Alamat Surat Menyurat"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Product","Product"
"Product ID","Product ID"
"Product Name","Product Name"
"Product name","Product name"
"Product Reviews","Product Reviews"
"Product Tags","Product Tags"
"Purchase On","Purchase On"
"Purchased at","Purchased at"
"Qty","Qty"
"Recent Orders","Recent Orders"
"Records for ""","Records for """
"Refunded","Refunded"
"Registered Customers","Registered Customers"
"Remove","Remove"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Retrieve your password here"
"Sales Statistics","Sales Statistics"
"Save","Save"
"Save Address","Save Address"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Save Customer"
"Save Customer Group","Save Customer Group"
"Save Password","Save Password"
"Saved ","Saved "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send auto-generated password","Send auto-generated password"
"Send confirmation link","Send confirmation link"
"Send welcome email","Send welcome email"
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Sending","Sending"
"Sent","Sent"
"Session Start Time","Session Start Time"
"Set as Default Billing Address","Set as Default Billing Address"
"Set as Default Shipping Address","Set as Default Shipping Address"
"Share Customer Accounts","Share Customer Accounts"
"Ship to First name","Ship to First name"
"Ship to Last name","Ship to Last name"
"Shipped to First Name","Shipped to First Name"
"Shipped to Last Name","Shipped to Last Name"
"Shipped to Name","Shipped to Name"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Shopping Cart","Shopping Cart"
"Shopping Cart - %d item(s)","Shopping Cart - %d item(s)"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Show Tax/VAT number","Show Tax/VAT number"
"Sign Up for Newsletter","Sign Up for Email Update"
"Sign up for our newsletter","Sign up for our newsletter"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, website ""%s"" field not exists","Skip import row, website ""%s"" field not exists"
"SKU","SKU"
"State/Province","State/Province"
"Status","Status"
"Store","Store"
"Store View","Store View"
"Street Address","Street Address"
"Street Address ","Street Address "
"Subject","Subject"
"Submit","Submit"
"Subscribe","Subscribe"
"Subscribe to newsletter","Subscribe to newsletter"
"Subscribed to Newsletter?","Subscribed to Newsletter?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"Tag Name","Tag Name"
"Tax Class","Tax Class"
"Tax class","Tax class"
"Tax/VAT number","Tax/VAT number"
"TAX/VAT number is required.","TAX/VAT number is required."
"Telephone","Telephone"
"Text","Text"
"Text One Line","Text One Line"
"Thank you for registering with %s","Thank you for registering as InHerCloset's member"
"The address does not belong to this customer","The address does not belong to this customer"
"The address was successfully deleted","The address was successfully deleted"
"The address was successfully saved","The address was successfully saved"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","There are no items in customer's wishlist at the moment"
"There are no items in customer's shopping cart at the moment","There are no items in customer's shopping cart at the moment"
"There was an error while deleting the address","There was an error while deleting the address"
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","This customer has no saved addresses."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","This email address was not found in our records"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This is My Primary %s Address","This is My Primary %s Address"
"To Cart","To Cart"
"Total","Total"
"Type","Type"
"Unknown","Unknown"
"Unsubscribe from newsletter","Unsubscribe from newsletter"
"Update","Update"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as my default billing address","Use as my default billing address"
"Use as my default shipping address","Use as my default shipping address"
"Use as My Primary %s Address","Use as My Primary %s Address"
"User description","User description"
"View","View"
"View Order","View Order"
"View Order List","View Order List"
"Visible In","Visible In"
"Visitor","Visitor"
"Visitors Only","Visitors Only"
"Website","Website"
"Welcome Email","Welcome Email"
"Wishlist","Wishlist"
"Wishlist - %d item(s)","Wishlist - %d item(s)"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","Wrong region id by selected country"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"Year","Year"
"You are currently not subscribed to any newsletter.","Anda tidak terdaftar di newsletter apapun."
"You are currently not subscribed to our newsletter","Anda tidak terdaftar di newsletter apapun"
"You are currently subscribed to 'General Subscription'.","Anda terdaftar di 'Pendaftar Umum'."
"You are currently subscribed to our newsletter","Anda terdaftar di newsletter apapun"
"You are currently subscribed to our newsletter.","Anda terdaftar di newsletter apapun."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Anda berhasil keluar dan akan dialihkan ke halaman utama dalam 5 detik."
"You have no additional address entries in your address book.","You have no additional address entries in your address book."
"You have no additional entries in your address book.","You have no additional entries in your address book."
"You have no default billing address in your address book.","You have no default billing address in your address book."
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"You have no primary entries in your address book.","You have no primary entries in your address book."
"You have not set a primary billing address.","Anda belum mencantumkan alamat surat menyurat anda."
"You have not set a primary shipping address.","Anda belum mencantumkan alamat surat menyurat anda."
"You have placed no orders yet.","You have placed no orders yet."
"You have placed no products yet.","You have placed no products yet."
"You're now Logged Out","Anda sekaang sudah keluar"
"Your account balance is: %s","Your account balance is: %s"
"YYYY","YYYY"
"ZIP","ZIP"
"ZIP/Post Code","Kode Pos"
"ZIP/Postal Code","Kode Pos"
"Zip/Postal Code","Kode Pos"
