"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Access denied to destination folder ""%s""","Tidak memiliki hak akses ke folder ""%s"""
"Could not load file: ""%s""","Tidak dapat mengambil file: ""%s"""
"Could not save file: %s","Tidak dapat menyimpan file: %s"
"Declared adapter %s not found","Adapter %s yang sudah dideklarasikan tidak ditemukan"
"Destination folder ""%s"" does not exist or not access to create","Folder tujuan ""%s"" tidak ada atau tidak dapat akese untuk dibuat"
"Destination folder ""%s"" is not a directory","Folder tujuan ""%s"" bukan directory"
"Destination folder ""%s"" is not a writeable","Folder tujuan ""%s"" tidak dapat ditulis"
"Done","Selesai"
"Dry run set, stopping execution","Dry run set, stopping execution"
"Error field mapping! Fields list for mapping is not defined","Kesalahan saap memetakan field! Daftar filed untuk pemetaan tidak didefinisikan"
"Error occured during file opening: ""%s""","Kesalahan terjadi saat mebuka file: ""%s"""
"ETA: %s","ETA: %s"
"File ""%s"" don't exist","File ""%s"" tidak ada"
"Found %d rows","Ditemukan %d row"
"hour","Jam"
"hours","Jam"
"Less than a minute","Kurang dari 1 menit"
"Loaded successfully: ""%s""","Sukses mengambil: ""%s"""
"Memory Used: %s","Penggunaan Memori: %s"
"Method ""%s"" not defined in adapter %s","Metode ""%s"" tidak didefinisikan di adapter %s"
"minute","Menit"
"minutes","Menit"
"Please declare ""adapter"" and ""method"" node first","Tolong deklarasi node ""adapter"" dan ""metode"" terlebih dahulu"
"Processed records: %s","Record yang terproses: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Sukses menyimpan: ""%s"" [%d byte]"
"Sheet 1","Sheet 1"
"Skip undefined row","Lewatkan baris yang tidak didefinisikan"
"Starting %s :: %s","Memulai %s :: %s"
"Total records: %s","Total rekor: %s"
