"-- Please select --","-- Silahkan Pilih --"
"Allowed currencies","Mata Uang yang dibolehkan"
"Base currency","Base currency"
"Cannot retrieve rate from %s","Tidak dapat mendapatkan kurs untuk %s"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","Lanjut &raquo;"
"Country","Country"
"Country and Format Type combination should be unique","Kombinasi Negara dan Format haruslah unik"
"Country Api","Country Api"
"Currency","Mata Uang"
"Currency Options","Opsi Mata Uang"
"Currency Setup","Setup Mata Uang"
"Currency Update Warnings","Peringatan tentang Update Mata Uang"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Default display currency","Mata Uang tertampil yang default"
"Directory","Directory"
"Enabled","Aktif"
"Error Email Recipient","Penerima Email Error"
"Error Email Sender","Pengirim Email Error"
"Error Email Template","Template Email Error"
"FATAL ERROR:","ERROR FATAL:"
"Frequency","Frekuensi"
"Installed Currencies","Mata uang yang terinstal"
"Invalid country code: %s","Kode negara invalid: %s"
"Invalid Import Service Specified","Layanan Import yang disebutkan Salah"
"Invalid rates received","Kurs yang diterima Salah"
"Invalid target currency","Mata Uang tujuan Salah"
"List of countries","List of countries"
"List of regions in specified country","List of regions in specified country"
"Region","Region"
"Region Api","Region Api"
"Remove space from currency sign","Remove space from currency sign"
"Scheduled Import Settings","Setting Import yang dijadwalkan"
"Select Your Currency","Pilih Mata uang anda"
"Service","Layanan"
"Start Time","Waktu Mulai"
"State/Province","Negara Bagia/Propinsi"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","Tidak bisa menginisialisasi model import"
"Undefined rate from ""%s-%s""","Kurs tidak terdefinisi dari ""%s-%s"""
"WARNING:","PERINGATAN:"
"Webservicex","Webservicex"
"Your current currency is: %s","Mata uang anda sekarang: %s"
