"Billing Information","Informasi Tagihan"
"Change Payment Method","Ubah Metode Pembayaran"
"Change Shipping Address","Ubah Alamat Pengiriman"
"Edit Shopping Cart","Ubah Keranjang Belanja"
"Email","Email"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","Barang pada Keranjang Belanja Anda"
"No shipping method required.","No shipping method required."
"Payment Method","Metode Pembayaran"
"PayPal Account","Akun PayPal"
"PayPal Email","PayPal Email"
"Place an Order","Lakukan Pembelian"
"Please select a shipping method...","Pilih motede pengiriman..."
"Price","Harga"
"Product Name","Nama Produk"
"Qty","Kuantitas"
"Review Order","Review Pembelian"
"Shipping Address","Alamat Pengiriman"
"Shipping Information","Infromasi Pengiriman"
"Shipping Method","Metode Pengiriman"
"Sorry, no quotes are available for this order at this time.","Maaf, tidak ada kutipan untuk pemjualan ini untuk saat ini."
"Submitting order information...","Kirim informasi penjualan"
"Subtotal","Subtotal"
"Update Shipping Method","Perbaharui Metode Pengiriman"
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"You will be redirected to PayPal website when you place an order.","Anda akan dialihkan ke website PayPal untuk melakukan pembelian."
"Your billing address will be ignored and you will be redirected to PayPal website","Alamat penagihan anda akan tidak dihiraukan dan anda akan dialihkan ke website PayPal"
