"Add","Tambah"
"ALL","SEMUA"
"ANY","SEADANYA"
"Apply","Terapkan"
"by","Berdasarkan"
"contains","contains"
"Description: %s","Deskripsi: %s"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"Expire at: %s","Kadaluarsa pada: %s"
"FALSE","SALAH"
"greater than","greater than"
"If %s of these conditions are %s:","Jika kondisi %s adalah %s:"
"Invalid discount amount.","Invalid discount amount."
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"Name: %s","Nama: %s"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Open Chooser","Buka Pilihan"
"Perform following actions","Lakukan Aksi Berikut"
"Please choose a condition to add...","Tolong pilih sebuah kondisi untuk ditambahkan..."
"Please choose an action to add...","Tolong pilih sebuah aksi untuk ditambahkan..."
"Remove","Buang"
"Start at: %s","Dimulai pada: %s"
"to","Sampai"
"TRUE","BENAR"
