" for more information or email us at "," untuk informasi lanjutan atau email kami di"
"# of Items (and above)","# barang (dan lebih)"
"# of Items vs. Destination","# barang vc. Tujuan"
"Allow Shipping to multiple addresses","Perbolehkan Pengiriman ke berbagai alamat"
"Calculate Handling Fee","Hitung Biaya Penanganan"
"Carrier:","Kurir:"
"City","Kota"
"Close Window","Tutup Window"
"Condition","Kondisi"
"contact us","kontak kami"
"Country","Negara"
"Date","Tanggal"
"Delivered on:","Dikirim pada:"
"Delivered to:","Dikirim ke:"
"Description","Deskripsi"
"Displayed Error Message","Pesan Error yang Ditampilkan"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Duplikasi Baris #%s (Negara ""%s"", Daerah/Negara Bagian ""%s"", Kode Pos ""%s"" dan Nilai ""%s"")"
"Enabled","Aktif"
"Error:","Error:"
"Export","Expor"
"Fixed","Tetap"
"Flat Rate","Biaya Tetap"
"Free Shipping","Pengiriman Gratis"
"Handling Fee","Biaya Penanganan"
"Import","Impor"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s","%s Tidak Valid ""%s"" pada Baris #%s"
"Invalid Country ""%s"" in the Row #%s","Negara ""%s"" Tidak Valid pada Baris #%s"
"Invalid Region/State ""%s"" in the Row #%s","Daerah/Negara Bagian ""%s"" Tidak Valid pada Baris #%s"
"Invalid Shipping Price ""%s"" in the Row #%s","Harga Pengiriman ""%s"" Tidak Valid pada Baris #%s"
"Invalid Table Rate code for type %s: %s","Kode Tabel Tarif Tidak Valid untuk tipe %s: %s"
"Invalid Table Rate code type: %s","Tipe Kode Tabel Tarif Tidak Valid: %s"
"Invalid Table Rates File Format","Format File untuk Tabel Tarif Tidak Valid"
"Local Time","Waktu Loka"
"Location","Lokasi"
"Maximum qty allowed for Shipping to multiple addresses","Kuantitas maksimum yang diperbolehkan untuk Pengiriman ke alamat berbeda"
"Method name","Nama metode"
"Minimum order amount","Nilai minimum pembelian"
"N/A","N/A"
"None","Kosong"
"Options","Opsi"
"Order Subtotal (and above)","Subtotal Pembelian (dan lebih)"
"Origin","Asal"
"Per Order","Per Pembelian"
"Per Package","Per Paket"
"Percent","Persentasi"
"Price","Harga"
"Price vs. Destination","Harga vs. Tujuan"
"Region/State","Wilayah/Negara Bagian"
"Service Type:","Tipe Servis:"
"Ship to applicable countries","Kirim ke negara yang mungkin"
"Ship to Specific countries","Kirim ke negara tertentu"
"Shipment #","Pengiriman #"
"Shipped or billed on:","Dikirm atau ditagihkan pada:"
"Shipping Methods","Metode Pengiriman"
"Shipping Methods Section","Shipping Methods Section"
"Shipping Settings","Aturan Pengiriman"
"Shipping Settings Section","Shipping Settings Section"
"Show method if not applicable","Tampilkan Metode jika tidak mungkin"
"Signed by:","Ditandatangani oleh:"
"Sort order","Urutkan pembelian"
"Status:","Status:"
"Store Pickup","Pengambilan di Toko"
"Table rates","Tabel Tarif"
"The shipping module is not available for selected delivery country","Modul Pengiriman ini tidak ada untuk negara tujuan pengiriman"
"There is no tracking available for this shipment.","Tidak ada pelacakan untuk pengiriman ini."
"There is no tracking available.","Tidak ada pelacakan."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Metode pengiriman ini sedang tidak ada. Jika anda ingin mengirimkan dengan metode pengiriman ini, harap hubungi kami."
"Title","Judul"
"Track:","Pelacak:"
"Tracking information is currently not available. Please ","Informasi pelacakan sedang tidak tersedia. Harap"
"Tracking information is currently unavailable.","Informasi pelacakan sedang tidak tersedia. Harap"
"Tracking Number:","Nomer Pelacakan."
"Type","Tipe"
"Weight (and above)","Berat (dan lebih)"
"Weight vs. Destination","Berat vs. Tujuan"
"Weight:","Berat"
"ZIP/Postal Code","Kode Pos"
